title,genre
The Shawshank Redemption,Crime
The Godfather,Crime
The Godfather: Part II,Crime
The Dark Knight,Action
Pulp Fiction,Crime
12 Angry Men,Drama
"The Good, the Bad and the Ugly",Western
The Lord of the Rings: The Return of the King,Adventure
Schindler's List,Biography
Fight Club,Drama
The Lord of the Rings: The Fellowship of the Ring,Adventure
Inception,Action
Star Wars: Episode V - The Empire Strikes Back,Action
Forrest Gump,Drama
The Lord of the Rings: The Two Towers,Adventure
Interstellar,Adventure
One Flew Over the Cuckoo's Nest,Drama
Seven Samurai,Drama
Goodfellas,Biography
Star Wars,Action
The Matrix,Action
City of God,Crime
It's a Wonderful Life,Drama
The Usual Suspects,Crime
Se7en,Drama
Life Is Beautiful,Comedy
Once Upon a Time in the West,Western
The Silence of the Lambs,Drama
Leon: The Professional,Crime
City Lights,Comedy
Spirited Away,Animation
The Intouchables,Biography
Casablanca,Drama
Whiplash,Drama
American History X,Crime
Modern Times,Comedy
Saving Private Ryan,Action
Raiders of the Lost Ark,Action
Rear Window,Mystery
Psycho,Horror
The Green Mile,Crime
Sunset Blvd.,Drama
The Pianist,Biography
The Dark Knight Rises,Action
Gladiator,Action
Terminator 2: Judgment Day,Action
Memento,Mystery
Taare Zameen Par,Drama
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Comedy
The Departed,Crime
Cinema Paradiso,Drama
Apocalypse Now,Drama
The Great Dictator,Comedy
The Prestige,Drama
Back to the Future,Adventure
The Lion King,Animation
The Lives of Others,Drama
Alien,Horror
Paths of Glory,Drama
Django Unchained,Western
3 Idiots,Comedy
Grave of the Fireflies,Animation
The Shining,Horror
M,Crime
WALL-E,Animation
Witness for the Prosecution,Crime
Munna Bhai M.B.B.S.,Comedy
American Beauty,Drama
Das Boot,Adventure
Princess Mononoke,Animation
Amelie,Comedy
North by Northwest,Adventure
Rang De Basanti,Drama
Jodaeiye Nader az Simin,Drama
Citizen Kane,Drama
Aliens,Action
Vertigo,Mystery
Oldeuboi,Drama
Once Upon a Time in America,Crime
Double Indemnity,Crime
Star Wars: Episode VI - Return of the Jedi,Action
Toy Story 3,Animation
Braveheart,Action
To Kill a Mockingbird,Drama
Requiem for a Dream,Drama
Lawrence of Arabia,Adventure
A Clockwork Orange,Crime
Bicycle Thieves,Drama
The Kid,Comedy
Swades,Drama
Reservoir Dogs,Crime
Eternal Sunshine of the Spotless Mind,Drama
Taxi Driver,Crime
Dilwale Dulhania Le Jayenge,Comedy
Singin' in the Rain,Comedy
All About Eve,Drama
Yojimbo,Action
The Sting,Comedy
Rashomon,Crime
Amadeus,Biography
The Treasure of the Sierra Madre,Action
Monty Python and the Holy Grail,Adventure
Full Metal Jacket,Drama
The Apartment,Comedy
Ikiru,Drama
The Third Man,Film-Noir
Snatch.,Comedy
For a Few Dollars More,Western
Metropolis,Drama
Dil Chahta Hai,Comedy
2001: A Space Odyssey,Mystery
Some Like It Hot,Comedy
L.A. Confidential,Crime
Batman Begins,Action
Inglourious Basterds,Adventure
Scarface,Crime
Mr. Smith Goes to Washington,Drama
Toy Story,Animation
Indiana Jones and the Last Crusade,Action
Unforgiven,Western
The Great Escape,Adventure
Jagten,Drama
On the Waterfront,Crime
The General,Action
Raging Bull,Biography
Downfall,Biography
Up,Animation
Wild Strawberries,Drama
The Gold Rush,Adventure
Ran,Action
Chinatown,Drama
My Neighbor Totoro,Animation
Judgment at Nuremberg,Drama
Barfi!,Adventure
The Seventh Seal,Drama
Heat,Action
Pan's Labyrinth,Drama
The Bridge on the River Kwai,Adventure
Die Hard,Action
Good Will Hunting,Drama
The Wages of Fear,Adventure
The Secret in Their Eyes,Drama
Lagaan: Once Upon a Time in India,Adventure
The Wolf of Wall Street,Biography
It Happened One Night,Comedy
Blade Runner,Sci-Fi
Warrior,Drama
Howl's Moving Castle,Animation
The Elephant Man,Biography
Rebecca,Mystery
Incendies,Drama
"Lock, Stock and Two Smoking Barrels",Comedy
V for Vendetta,Action
The Big Lebowski,Comedy
Cool Hand Luke,Crime
Relatos salvajes,Comedy
Casino,Biography
Gone with the Wind,Drama
Gone Girl,Drama
The Best Years of Our Lives,Drama
How to Train Your Dragon,Animation
Diabolique,Horror
Gran Torino,Drama
Rush,Action
Into the Wild,Adventure
My Sassy Girl,Comedy
The Deer Hunter,Drama
Mary and Max,Animation
Hachi: A Dog's Tale,Drama
The Maltese Falcon,Crime
A Beautiful Mind,Biography
Dial M for Murder,Crime
Trainspotting,Drama
Tae Guk Gi: The Brotherhood of War,Action
Persona,Drama
Touch of Evil,Crime
Fargo,Crime
The Avengers,Action
The 400 Blows,Crime
The Princess Bride,Adventure
Hotel Rwanda,Drama
Stalker,Drama
The Battle of Algiers,Crime
Underground,Comedy
Fanny and Alexander,Drama
Network,Drama
The Thing,Horror
Butch Cassidy and the Sundance Kid,Biography
The Grapes of Wrath,Drama
"Black Cat, White Cat",Comedy
Life of Brian,Comedy
The Sixth Sense,Drama
Finding Nemo,Animation
Nausicaa of the Valley of the Wind,Animation
Kingsman: The Secret Service,Action
Platoon,Drama
Guardians of the Galaxy,Action
In the Name of the Father,Biography
Kill Bill: Vol. 1,Action
No Country for Old Men,Crime
Le Samourai,Crime
12 Years a Slave,Biography
La leggenda del pianista sull'oceano,Drama
8 1/2,Drama
Ben-Hur,Adventure
Amores Perros,Drama
Stand by Me,Adventure
What Ever Happened to Baby Jane?,Drama
Annie Hall,Comedy
The Imitation Game,Biography
Laura,Film-Noir
Departures,Drama
Infernal Affairs,Crime
There Will Be Blood,Drama
The Grand Budapest Hotel,Adventure
La Strada,Drama
Sin City,Crime
Memories of Murder,Crime
Donnie Darko,Drama
Who's Afraid of Virginia Woolf?,Drama
Gandhi,Biography
Solaris,Drama
Harry Potter and the Deathly Hallows: Part 2,Adventure
"Paris, Texas",Drama
The Wizard of Oz,Adventure
3-Iron,Crime
Boyhood,Drama
Million Dollar Baby,Drama
The Last Picture Show,Drama
Strangers on a Train,Crime
Cat on a Hot Tin Roof,Drama
La Dolce Vita,Comedy
Chungking Express,Drama
The Night of the Hunter,Crime
La Haine,Crime
Yip Man,Action
High Noon,Western
Notorious,Drama
Before Sunrise,Drama
Elite Squad: The Enemy Within,Action
The Bourne Ultimatum,Action
Castle in the Sky,Animation
The Celebration,Drama
"Spring, Summer, Fall, Winter... and Spring",Drama
Shutter Island,Mystery
Barry Lyndon,Adventure
Stalag 17,Comedy
Three Colors: Red,Drama
X-Men: Days of Future Past,Action
Sleuth,Mystery
In the Mood for Love,Drama
The Man Who Shot Liberty Valance,Drama
Arsenic and Old Lace,Comedy
The Big Sleep,Crime
Roman Holiday,Comedy
The Philadelphia Story,Comedy
Akira,Animation
Anatomy of a Murder,Crime
The Cabinet of Dr. Caligari,Crime
The Help,Drama
The Sea Inside,Biography
Elite Squad,Action
The Hustler,Drama
Rio Bravo,Western
Twelve Monkeys,Mystery
Harvey,Comedy
A Christmas Story,Comedy
Jaws,Drama
The Raid 2,Action
Rocky,Drama
Wings of Desire,Drama
Pirates of the Caribbean: The Curse of the Black Pearl,Adventure
The Killing,Crime
Papillon,Biography
The King's Speech,Biography
Groundhog Day,Comedy
A Fistful of Dollars,Action
"Monsters, Inc.",Animation
Dog Day Afternoon,Crime
The Perks of Being a Wallflower,Drama
Young Frankenstein,Comedy
The Terminator,Action
Harold and Maude,Comedy
Before Sunset,Drama
A Streetcar Named Desire,Drama
Bringing Up Baby,Comedy
The Diving Bell and the Butterfly,Biography
His Girl Friday,Comedy
Sling Blade,Drama
All Quiet on the Western Front,Drama
Prisoners,Crime
The Return,Drama
The Manchurian Candidate,Mystery
Duck Soup,Comedy
Beauty and the Beast,Animation
The Truman Show,Drama
The Wild Bunch,Action
Rope,Crime
The Graduate,Comedy
Jurassic Park,Adventure
Dogville,Crime
Furious 7,Action
Patton,Biography
The Nightmare Before Christmas,Animation
Being There,Comedy
Persepolis,Animation
This Is Spinal Tap,Comedy
East of Eden,Drama
Pink Floyd The Wall,Animation
Blood Diamond,Adventure
Big Fish,Adventure
Slumdog Millionaire,Drama
Star Trek,Action
The Straight Story,Biography
Crimes and Misdemeanors,Comedy
Charade,Comedy
JFK,Drama
Dawn of the Dead,Horror
Magnolia,Drama
Manhattan,Comedy
Central Station,Drama
Brazil,Sci-Fi
The Exorcist,Horror
Her,Drama
Dancer in the Dark,Crime
Rain Man,Drama
Talk to Her,Drama
The Adventures of Robin Hood,Action
"Aguirre, the Wrath of God",Adventure
In the Heat of the Night,Crime
Nosferatu,Horror
Black Swan,Drama
Ratatouille,Animation
The Searchers,Adventure
Short Term 12,Drama
Doctor Zhivago,Drama
Life of Pi,Adventure
All the President's Men,Drama
Battleship Potemkin,History
Dances with Wolves,Adventure
Catch Me If You Can,Biography
Cinderella Man,Biography
Dead Poets Society,Drama
Ghost in the Shell,Animation
Head-On,Drama
No Man's Land,Drama
Dallas Buyers Club,Biography
Days of Heaven,Drama
The Sound of Music,Biography
District 9,Action
Shadow of a Doubt,Thriller
Frankenstein,Horror
Shaun of the Dead,Comedy
Night of the Living Dead,Horror
Kill Bill: Vol. 2,Action
Secrets & Lies,Drama
The Artist,Comedy
Aladdin,Animation
The Lady Vanishes,Comedy
The Hobbit: The Desolation of Smaug,Adventure
Let the Right One In,Drama
Fiddler on the Roof,Drama
The Hobbit: An Unexpected Journey,Adventure
Three Colors: Blue,Drama
Rosemary's Baby,Drama
Mystic River,Crime
Serenity,Action
Amarcord,Comedy
Planet of the Apes,Adventure
True Romance,Crime
Hannah and Her Sisters,Comedy
Moon,Drama
Before Midnight,Drama
My Name Is Khan,Drama
Scent of a Woman,Drama
Mulholland Dr.,Drama
King Kong,Adventure
The Fault in Our Stars,Drama
The Incredibles,Animation
Edward Scissorhands,Drama
Casino Royale,Action
How to Train Your Dragon 2,Animation
In Bruges,Comedy
The Untouchables,Crime
Breathless,Crime
Spartacus,Action
The Iron Giant,Animation
Midnight Cowboy,Drama
The Blues Brothers,Action
Freaks,Drama
Letters from Iwo Jima,Drama
Edge of Tomorrow,Action
Glory,Drama
The African Queen,Adventure
Birdman: Or (The Unexpected Virtue of Ignorance),Comedy
Big Hero 6,Animation
Almost Famous,Drama
The Notebook,Drama
The Conversation,Drama
The Breakfast Club,Comedy
The Pursuit of Happyness,Biography
The Killer,Action
Once,Drama
Ying xiong,Action
The Remains of the Day,Drama
The Bride of Frankenstein,Horror
The Wrestler,Drama
Nightcrawler,Crime
Gravity,Sci-Fi
Hard Boiled,Action
Bonnie and Clyde,Biography
The Bourne Identity,Action
Key Largo,Crime
Nine Queens,Crime
Toy Story 2,Animation
The Killing Fields,Drama
All About My Mother,Drama
Cowboy Bebop: The Movie,Animation
Ed Wood,Biography
Stagecoach,Adventure
The Man Who Would Be King,Action
The Outlaw Josey Wales,Western
Children of Men,Drama
The Insider,Biography
The Right Stuff,Adventure
Badlands,Crime
A Prophet,Crime
"4 Months, 3 Weeks and 2 Days",Drama
Le passe,Drama
The Fall,Adventure
Breaking the Waves,Drama
Mr. Nobody,Drama
Crash,Drama
Avatar,Action
Iron Man,Action
Do the Right Thing,Comedy
Carlito's Way,Crime
"Crouching Tiger, Hidden Dragon",Action
Lilya 4-Ever,Crime
The Chorus,Drama
The Boondock Saints,Action
Miller's Crossing,Crime
Walk the Line,Biography
Shrek,Animation
My Fair Lady,Drama
The Ten Commandments,Adventure
The Fighter,Biography
Captain Phillips,Biography
Cabaret,Drama
Halloween,Drama
My Left Foot,Biography
Miracle on 34th Street,Comedy
The Man from Nowhere,Action
Toki o kakeru shojo,Animation
Little Miss Sunshine,Adventure
Taken,Action
Blue Is the Warmest Color,Drama
Boogie Nights,Drama
Hot Fuzz,Comedy
Ferris Bueller's Day Off,Comedy
The World's Fastest Indian,Biography
Kiki's Delivery Service,Animation
Down by Law,Comedy
Glengarry Glen Ross,Drama
Clerks,Comedy
Adam's Apples,Comedy
The Girl with the Dragon Tattoo,Crime
The 39 Steps,Mystery
E.T. the Extra-Terrestrial,Family
Tombstone,Action
Predator,Action
Tangled,Animation
Guess Who's Coming to Dinner,Comedy
Ordinary People,Drama
The Best Offer,Crime
Silver Linings Playbook,Comedy
Hamlet,Drama
Amour,Drama
I Saw the Devil,Crime
The Motorcycle Diaries,Adventure
Office Space,Comedy
Evil,Drama
The Girl with the Dragon Tattoo,Crime
Withnail & I,Comedy
The Day the Earth Stood Still,Sci-Fi
Black Book,Drama
Evil Dead II,Comedy
Kaze tachinu,Animation
Star Trek Into Darkness,Action
The Triplets of Belleville,Animation
Open Your Eyes,Drama
The Magnificent Seven,Action
Drive,Crime
Mississippi Burning,Crime
The Lego Movie,Animation
The Day of the Jackal,Crime
Misery,Thriller
Willy Wonka & the Chocolate Factory,Family
Fantasia,Animation
Gattaca,Drama
American Gangster,Biography
Porco Rosso,Animation
The French Connection,Action
The Boy in the Striped Pajamas,Drama
Empire of the Sun,Drama
About Time,Drama
Blue Velvet,Crime
In America,Drama
The Curious Case of Benjamin Button,Drama
The Last of the Mohicans,Action
Moonrise Kingdom,Adventure
Rebel Without a Cause,Drama
Fantastic Mr. Fox,Animation
Invasion of the Body Snatchers,Horror
October Sky,Biography
Dirty Harry,Action
Ghostbusters,Comedy
Captain America: The Winter Soldier,Action
Wreck-It Ralph,Animation
The Hangover,Comedy
Back to the Future Part II,Adventure
Belle de Jour,Drama
"O Brother, Where Art Thou?",Adventure
Repulsion,Drama
Airplane!,Comedy
Pride & Prejudice,Drama
Zulu,Drama
Night on Earth,Comedy
From Here to Eternity,Drama
Apocalypto,Action
Atonement,Drama
The Dirty Dozen,Action
X-Men: First Class,Action
Run Lola Run,Action
The Longest Day,Action
Zelig,Comedy
The Last Emperor,Biography
The Goonies,Adventure
The White Ribbon,Drama
The Fugitive,Action
The Color Purple,Drama
South Park: Bigger Longer & Uncut,Animation
(500) Days of Summer,Comedy
Lost in Translation,Drama
Argo,Drama
Blazing Saddles,Comedy
Breakfast at Tiffany's,Comedy
Finding Neverland,Biography
The Experiment,Drama
Lucky Number Slevin,Crime
The Theory of Everything,Biography
Harry Potter and the Prisoner of Azkaban,Adventure
Kung Fu Hustle,Action
Being John Malkovich,Comedy
The Social Network,Biography
3:10 to Yuma,Adventure
The Name of the Rose,Crime
Mary Poppins,Comedy
The Game,Drama
Changeling,Drama
Donnie Brasco,Biography
Serpico,Biography
What's Eating Gilbert Grape,Drama
Goldfinger,Action
Nebraska,Adventure
The Sandlot,Comedy
Boyz n the Hood,Crime
The Bourne Supremacy,Action
Skyfall,Action
Ray,Biography
300,Action
A Bronx Tale,Crime
The Birds,Horror
Battle Royale,Action
Control,Biography
Kramer vs. Kramer,Drama
Deliverance,Adventure
Ocean's Eleven,Crime
As Good as It Gets,Comedy
Awakenings,Biography
The King of Comedy,Comedy
Man on Fire,Action
Sabrina,Comedy
Dark City,Mystery
Good Bye Lenin!,Comedy
Remember the Titans,Biography
Star Trek II: The Wrath of Khan,Action
Road to Perdition,Crime
Rushmore,Comedy
The Machinist,Drama
Flipped,Comedy
The Count of Monte Cristo,Action
Detachment,Drama
Love Me If You Dare,Comedy
Dead Man,Drama
The Purple Rose of Cairo,Comedy
21 Grams,Crime
50/50,Comedy
Kick-Ass,Action
Delicatessen,Comedy
Barton Fink,Drama
The Last King of Scotland,Biography
Adaptation.,Comedy
A Very Long Engagement,Drama
Mysterious Skin,Drama
Stardust,Adventure
Black Hawk Down,Drama
Paprika,Animation
Fear and Loathing in Las Vegas,Comedy
Frost/Nixon,Drama
Enter the Dragon,Action
Short Cuts,Comedy
A Hard Day's Night,Comedy
The Last Samurai,Action
The Station Agent,Comedy
Zombieland,Comedy
Sympathy for Mr. Vengeance,Crime
Despicable Me,Animation
Shane,Drama
Forbidden Planet,Action
Titanic,Drama
Gone Baby Gone,Crime
The Dinner Game,Comedy
Dawn of the Planet of the Apes,Action
25th Hour,Crime
Ponyo,Animation
Shine,Biography
The Blind Side,Biography
Brokeback Mountain,Drama
Cast Away,Adventure
Malcolm X,Biography
Show Me Love,Comedy
Boy A,Drama
The Warriors,Action
Close Encounters of the Third Kind,Drama
Match Point,Drama
Training Day,Crime
The Butterfly Effect,Sci-Fi
The City of Lost Children,Fantasy
Billy Elliot,Comedy
Love Actually,Comedy
The Producers,Comedy
Harry Potter and the Deathly Hallows: Part 1,Adventure
The Visitor,Drama
Philadelphia,Drama
Sense and Sensibility,Drama
Three Colors: White,Comedy
La grande bellezza,Drama
Primal Fear,Crime
Where Eagles Dare,Action
Dazed and Confused,Comedy
Blood Simple.,Crime
This Is England,Crime
Fearless,Action
Dangerous Liaisons,Drama
Saw,Horror
Snow White and the Seven Dwarfs,Animation
Coraline,Animation
The Hunger Games: Catching Fire,Adventure
Sophie's Choice,Drama
La Vie en Rose,Biography
Star Wars: Episode III - Revenge of the Sith,Action
True Grit,Adventure
After Hours,Comedy
Frozen,Animation
Lolita,Drama
Eastern Promises,Crime
Midnight in Paris,Comedy
The Muppet Christmas Carol,Comedy
Who Framed Roger Rabbit,Animation
Sympathy for Lady Vengeance,Crime
Grindhouse,Action
In a Better World,Drama
Blow-Up,Drama
The Secret World of Arrietty,Animation
Kiss Kiss Bang Bang,Action
Lost Highway,Drama
Zodiac,Crime
Les Miserables,Drama
Moulin Rouge!,Drama
Whale Rider,Drama
End of Watch,Crime
Philomena,Biography
Fury,Action
The Big Blue,Action
First Blood,Action
Minority Report,Action
Spellbound,Film-Noir
The Wicker Man,Horror
Seven Pounds,Drama
Midnight Express,Biography
Kelly's Heroes,Action
MASH,Comedy
The Player,Comedy
Traffic,Crime
Y Tu Mama Tambien,Drama
Stranger Than Fiction,Comedy
Inside Man,Crime
127 Hours,Adventure
The Fifth Element,Action
Milk,Biography
United 93,Action
Jin ling shi san chai,Drama
Dracula,Horror
High Plains Drifter,Western
I Am Sam,Drama
Fried Green Tomatoes,Drama
Watchmen,Action
28 Days Later...,Horror
The Illusionist,Drama
Superbad,Comedy
The Godfather: Part III,Crime
The Royal Tenenbaums,Comedy
The Jungle Book,Animation
Thank You for Smoking,Comedy
Man Bites Dog,Comedy
A Few Good Men,Drama
The Legend of Drunken Master,Action
The Kite Runner,Drama
When Harry Met Sally...,Comedy
Munich,Drama
House of Sand and Fog,Drama
Lethal Weapon,Action
Animal House,Comedy
Lord of War,Crime
Blow,Biography
Sherlock Holmes,Action
Harry Potter and the Goblet of Fire,Adventure
La piel que habito,Thriller
The Crow,Action
West Side Story,Crime
The Thin Red Line,Drama
American Psycho,Crime
The Blind Swordsman: Zatoichi,Action
The Last Temptation of Christ,Drama
The Naked Gun: From the Files of Police Squad!,Comedy
The Others,Horror
The Party,Comedy
Army of Darkness,Comedy
The Hurt Locker,Drama
The Raid: Redemption,Action
Volver,Comedy
Following,Mystery
Kung Fu Panda,Animation
Mad Max 2: The Road Warrior,Action
Jusan-nin no shikaku,Action
The Man Who Wasn't There,Crime
The Counterfeiters,Crime
The Hunt for Red October,Action
Lone Survivor,Action
A Fish Called Wanda,Comedy
The Impossible,Drama
Garden State,Comedy
Escape from Alcatraz,Action
Apollo 13,Adventure
"Lust, Caution",Drama
Selma,Biography
Funny Games,Crime
The Abyss,Adventure
Robin Hood,Animation
Enemy at the Gates,Drama
Falling Down,Crime
Little Children,Drama
Hunger,Biography
Indiana Jones and the Temple of Doom,Action
Ip Man 2,Action
The Little Mermaid,Animation
"It's a Mad, Mad, Mad, Mad World",Action
The Reader,Drama
The Omen,Horror
A Royal Affair,Drama
Braindead,Comedy
Secondhand Lions,Comedy
Disconnect,Drama
A Single Man,Drama
Hoosiers,Drama
Moneyball,Biography
The Book Thief,Drama
Die Hard: With a Vengeance,Action
Interview with the Vampire: The Vampire Chronicles,Horror
Midnight Run,Action
An American Werewolf in London,Comedy
The Great Debaters,Biography
Tucker and Dale vs. Evil,Comedy
Dead Man Walking,Crime
The Piano,Drama
The Town,Crime
Rise of the Planet of the Apes,Action
Boys Don't Cry,Biography
Ice Age,Animation
Of Mice and Men,Drama
Sideways,Comedy
High Fidelity,Comedy
The Meaning of Life,Comedy
Hugo,Adventure
Leaving Las Vegas,Drama
The Evil Dead,Horror
Collateral,Crime
"Planes, Trains & Automobiles",Comedy
Hodejegerne,Crime
Field of Dreams,Drama
Batman,Action
Tell No One,Crime
Ghost Dog: The Way of the Samurai,Action
Chaplin,Biography
Keith,Drama
Juno,Comedy
The Assassination of Jesse James by the Coward Robert Ford,Biography
The Fisher King,Comedy
House of Flying Daggers,Action
The Hours,Drama
The Damned United,Biography
Star Trek: First Contact,Action
The Natural,Drama
The Hobbit: The Battle of the Five Armies,Adventure
Equilibrium,Action
August Rush,Drama
Saving Mr. Banks,Biography
The Hurricane,Biography
Jacob's Ladder,Drama
The Curse of the Were-Rabbit,Animation
Christmas Vacation,Comedy
"Good Night, and Good Luck.",Drama
Straw Dogs,Crime
42,Biography
Rudy,Biography
Sleepers,Crime
The Wind That Shakes the Barley,Drama
Gangs of New York,Crime
Elizabeth,Biography
Green Street Hooligans,Crime
Reign Over Me,Drama
RoboCop,Action
The Life of David Gale,Crime
Life as a House,Drama
Despicable Me 2,Animation
Jackie Brown,Crime
Menace II Society,Crime
The Class,Drama
Bullets Over Broadway,Comedy
American Splendor,Biography
Perfume: The Story of a Murderer,Crime
Cloud Atlas,Drama
Marathon Man,Crime
Pinocchio,Animation
The Painted Veil,Drama
A Simple Plan,Crime
The Conjuring,Horror
The Man Who Knew Too Much,Thriller
Quiz Show,Drama
American Graffiti,Comedy
The Bridges of Madison County,Drama
Gallipoli,Adventure
L'illusionniste,Animation
Miracle,Drama
Maria Full of Grace,Crime
Scott Pilgrim vs. the World,Action
Pleasantville,Comedy
Sherlock Holmes: A Game of Shadows,Action
Doubt,Drama
The Fly,Horror
The Orphanage,Drama
Malena,Drama
Three Days of the Condor,Mystery
[Rec],Horror
A Perfect World,Crime
To Catch a Thief,Mystery
Best in Show,Comedy
Everything Is Illuminated,Comedy
A Nightmare on Elm Street,Horror
The Ice Storm,Drama
X2,Action
We Need to Talk About Kevin,Drama
Felon,Crime
Still Alice,Drama
Rust and Bone,Drama
Freedom Writers,Biography
Legends of the Fall,Drama
Buffalo '66,Comedy
The Constant Gardener,Drama
My Cousin Vinny,Comedy
The Texas Chain Saw Massacre,Horror
Mulan,Animation
A History of Violence,Crime
Open Range,Action
Total Recall,Action
Pi,Drama
The Devil's Backbone,Drama
The Aviator,Biography
Devil's Advocate,Drama
"The Adventures of Priscilla, Queen of the Desert",Comedy
Harry Potter and the Half-Blood Prince,Adventure
Fruitvale Station,Biography
In the Bedroom,Crime
Source Code,Mystery
Biutiful,Drama
From Russia with Love,Action
Calvary,Drama
The Mission,Adventure
In the Loop,Comedy
The Three Burials of Melquiades Estrada,Adventure
Babel,Drama
Frenzy,Thriller
Heavenly Creatures,Biography
Sweeney Todd: The Demon Barber of Fleet Street,Drama
Dracula,Horror
Looper,Action
The Proposition,Crime
Bullitt,Action
Harry Potter and the Sorcerer's Stone,Adventure
2046,Drama
Transamerica,Adventure
Smoke,Comedy
Suspiria,Horror
The Judge,Drama
Bad Education,Crime
Up in the Air,Drama
Begin Again,Drama
Running Scared,Action
Ghost World,Comedy
Witness,Crime
Trading Places,Comedy
Mud,Drama
Across the Universe,Drama
Les Miserables,Crime
Notes on a Scandal,Drama
Inside Llewyn Davis,Drama
Brick,Crime
Clerks II,Comedy
Say Anything...,Comedy
Man on the Moon,Biography
Mean Streets,Crime
Harry Potter and the Order of the Phoenix,Adventure
Beetlejuice,Comedy
"Crazy, Stupid, Love.",Comedy
Excalibur,Adventure
True Grit,Adventure
Labyrinth,Adventure
Alice in Wonderland,Animation
Predestination,Drama
Much Ado About Nothing,Comedy
A Bridge Too Far,Drama
Raising Arizona,Comedy
The Bucket List,Adventure
Terms of Endearment,Comedy
Take Shelter,Drama
Far from Heaven,Drama
Eraserhead,Drama
Frances Ha,Comedy
Home Alone,Comedy
Bound,Crime
Sleepy Hollow,Drama
Pirate Radio,Comedy
The NeverEnding Story,Adventure
X-Men,Action
Zero Dark Thirty,Drama
Manhattan Murder Mystery,Comedy
National Lampoon's Vacation,Comedy
My Sister's Keeper,Drama
Deconstructing Harry,Comedy
The Way Way Back,Comedy
Capote,Biography
Driving Miss Daisy,Comedy
La Femme Nikita,Action
Lincoln,Biography
Limitless,Mystery
The Simpsons Movie,Animation
The Rock,Action
The English Patient,Drama
Law Abiding Citizen,Crime
Wonder Boys,Drama
Death at a Funeral,Comedy
Blue Valentine,Drama
The Cider House Rules,Drama
Tootsie,Comedy
Back to the Future Part III,Adventure
Master and Commander: The Far Side of the World,Action
Poltergeist,Horror
Wall Street,Crime
